Category,Title,Products
Superseded,Security Update for Windows Server 2012 R2 (KB2961899) without KB2919355,Windows Server 2012 R2
Superseded,Security Update for Windows Server 2012 R2 (KB2961908) without KB2919355,Windows Server 2012 R2
Superseded,Security Update for Windows Server 2012 R2 (KB2962073) without KB2919355,Windows Server 2012 R2
Superseded,Security Update for Windows Server 2012 R2 (KB2965161) without KB2919355,Windows Server 2012 R2
Superseded,Security Update for Windows Server 2012 R2 (KB2973408) without KB2919355,Windows Server 2012 R2
Superseded,Security Update for Windows Server 2012 R2 (KB2973906) without KB2919355,Windows Server 2012 R2
Superseded,Security Update for Windows Server 2012 R2 (KB2975625) without KB2919355,Windows Server 2012 R2
Superseded,Security Update for Windows Vista Service Pack 1 (KB979688),Windows Vista
Superseded,Security Update for Windows Vista Service Pack 1 for x64-based Systems (KB979688),Windows Vista
Superseded,Security Update for Windows XP Service Pack 2 (KB952069),Windows XP
Superseded,Security Update for Windows XP Service Pack 2 (KB972187),Windows XP
Superseded,Security Update for Windows XP Service Pack 2 (KB973540),Windows XP
Superseded,"Security Update, February 13, 2002 (MSXML 4.0)",Windows XP
Superseded,"Security Update, February 14, 2002 (Internet Explorer 5.01)",Windows 2000
Language Packs,Service Pack 1 for Microsoft Office 2013 Language Interface Pack (KB2817428) 32-Bit Edition,Office 2013
Language Packs,Service Pack 1 for Microsoft Office 2013 Language Interface Pack (KB2817428) 64-Bit Edition,Office 2013
Language Packs,Service Pack 1 for Microsoft Office ScreenTip Language 2013 (KB2817436) 32-Bit Edition,Office 2013
Language Packs,Service Pack 1 for Microsoft Office ScreenTip Language 2013 (KB2817436) 64-Bit Edition,Office 2013
Language Packs,Service Pack 2 for Microsoft Office 2010 Language Pack (KB2687449) 32-Bit Edition,Office 2010
Language Packs,Service Pack 2 for Microsoft Office 2010 Language Pack (KB2687449) 64-Bit Edition,Office 2010
Language Packs,Service Pack 2 for Microsoft Office Language Interface Pack 2010 (KB2687450) 32-Bit Edition,Office 2010
Language Packs,Service Pack 2 for Microsoft Office Language Interface Pack 2010 (KB2687450) 64-Bit Edition,Office 2010
Superseded,SQL Server 2005 Books Online (February 2007),SQL Server 2005
Superseded,SQL Server 2012 Service Pack 1 Setup Update (KB2674319),SQL Server 2012 Product Updates for Setup
